,precision,recall,f1-score,support
Vileplume,0.9411764705882353,1.0,0.9696969696969697,16.0
Voltorb,1.0,1.0,1.0,8.0
Vulpix,0.8,1.0,0.8888888888888888,4.0
Wartortle,0.9285714285714286,0.9285714285714286,0.9285714285714286,14.0
Weedle,1.0,1.0,1.0,10.0
Weepinbell,1.0,1.0,1.0,12.0
Weezing,0.8571428571428571,1.0,0.9230769230769231,6.0
Wigglytuff,1.0,0.9,0.9473684210526315,10.0
Zapdos,1.0,1.0,1.0,13.0
Zubat,1.0,1.0,1.0,5.0
accuracy,0.9655425219941349,0.9655425219941349,0.9655425219941349,0.9655425219941349
macro avg,0.96362759299524,0.9598287360787361,0.9589026516424504,1364.0
weighted avg,0.9690081446092099,0.9655425219941349,0.9652660302349645,1364.0
